evaluation_date,agent_name,team_manager,campaign,channel,call_reason,coaching_status,tenure_bucket,shift,qa_evaluator,qa_score,aht_seconds,csat_score,nps_score,compliance_score,resolution_rate,target_met,critical_error_flag
2025-04-13,Agent_028,Team E,Tech Support,Voice,Technical Troubleshooting,Not Coached,4-6 months,Mid,Evaluator 4,64.3,802.0,3.43,21,87.1,66.0,Not Met,Yes
2025-12-15,Agent_114,Team E,Sales,Chat,Cancellation,Not Coached,0-3 months,Night,Evaluator 4,70.7,604.0,3.8,39,81.1,74.7,Not Met,Yes
2025-09-28,Agent_085,Team E,Retail Support,Voice,Technical Troubleshooting,Not Coached,7-12 months,Morning,Evaluator 3,75.6,751.0,3.69,24,89.8,72.6,Not Met,No
2025-04-17,Agent_049,Team C,Retail Support,Chat,Cancellation,Coached,0-3 months,Mid,Evaluator 2,72.2,540.0,3.82,31,85.4,73.2,Not Met,Yes
2025-03-13,Agent_071,Team E,Billing,Chat,Billing Issue,Coached,0-3 months,Mid,Evaluator 1,83.4,560.0,3.96,38,90.6,79.2,Not Met,No
2025-07-08,Agent_081,Team A,Billing,Voice,Policy Question,Coached,4-6 months,Morning,Evaluator 2,80.0,794.0,3.85,38,90.5,70.7,Not Met,No
2025-01-21,Agent_084,Team D,Banking Support,Voice,Cancellation,Not Coached,7-12 months,Night,Evaluator 3,67.2,782.0,3.98,43,85.8,65.4,Not Met,Yes
2025-04-13,Agent_105,Team A,Sales,Chat,Complaint,Coached,4-6 months,Mid,Evaluator 3,89.9,540.0,4.38,44,91.3,75.8,Met,No
2025-05-02,Agent_049,Team C,Claims,Chat,Account Access,Not Coached,12+ months,Morning,Evaluator 3,82.1,495.0,3.77,11,87.3,85.5,Not Met,No
2025-08-03,Agent_020,Team C,Sales,Chat,Account Access,Not Coached,12+ months,Night,Evaluator 4,86.6,445.0,4.11,45,84.4,78.8,Met,Yes
2025-11-27,Agent_118,Team C,Banking Support,Chat,Order Status,Not Coached,4-6 months,Morning,Evaluator 2,78.9,476.0,4.0,31,88.5,75.0,Not Met,No
2025-03-29,Agent_086,Team E,Billing,Chat,Account Access,Coached,4-6 months,Mid,Evaluator 4,80.8,544.0,4.01,25,91.9,76.0,Not Met,No
2025-04-10,Agent_092,Team C,Sales,Email,Order Status,Coached,4-6 months,Morning,Evaluator 4,82.0,429.0,4.11,39,84.1,83.0,Not Met,Yes
2025-12-26,Agent_063,Team C,Sales,Voice,Account Access,Coached,12+ months,Night,Evaluator 2,87.0,690.0,3.69,27,94.3,75.2,Met,No
2025-06-01,Agent_061,Team B,Billing,Voice,Cancellation,Not Coached,0-3 months,Mid,Evaluator 3,74.5,611.0,4.23,33,84.2,75.9,Not Met,Yes
2025-05-11,Agent_104,Team C,Banking Support,Voice,Complaint,Not Coached,0-3 months,Mid,Evaluator 1,68.7,700.0,4.15,24,84.3,69.5,Not Met,Yes
2025-05-30,Agent_049,Team B,Billing,Voice,Policy Question,Coached,12+ months,Morning,Evaluator 1,87.8,762.0,4.04,38,92.5,77.6,Met,No
2025-11-05,Agent_071,Team A,Retail Support,Voice,Technical Troubleshooting,Coached,7-12 months,Mid,Evaluator 2,80.9,693.0,4.14,32,93.5,77.4,Not Met,No
2025-09-15,Agent_001,Team D,Claims,Voice,Escalation,Not Coached,0-3 months,Night,Evaluator 2,69.6,824.0,3.74,30,88.2,67.5,Not Met,Yes
2025-12-10,Agent_096,Team D,Billing,Email,Account Access,Not Coached,4-6 months,Mid,Evaluator 3,85.3,527.0,4.27,44,85.5,78.6,Met,No
2025-10-21,Agent_013,Team D,Banking Support,Voice,Policy Question,Coached,12+ months,Mid,Evaluator 2,100.0,703.0,3.46,33,98.5,74.7,Met,No
2025-07-11,Agent_094,Team C,Tech Support,Voice,Policy Question,Not Coached,12+ months,Mid,Evaluator 2,79.7,687.0,3.86,46,90.0,69.2,Not Met,No
2025-10-04,Agent_087,Team C,Retail Support,Voice,Cancellation,Coached,7-12 months,Night,Evaluator 3,81.1,708.0,3.74,28,92.6,74.2,Not Met,No
